intervalles,annee,valeur
p80p90,1983,38399.7
p80p90,1984,41090.4
p80p90,1985,44129.4
p80p90,1986,47892.6
p80p90,1987,50757.5
p80p90,1988,53469.1
p80p90,1989,59558.2
p80p90,1990,62499.3
p80p90,1991,63521.6
p80p90,1992,65343.5
p80p90,1993,72839.5
p80p90,1994,67653.5
p80p90,1995,68936
p80p90,1996,62134.4
p80p90,1997,64492
p80p90,1998,67160.9
p80p90,1999,73064.2
p80p90,2000,77823.1
p80p90,2001,78787
p80p90,2002,75574
p80p90,2003,77926.8
p80p90,2004,77493.9
p80p90,2005,83854.1
p80p90,2006,90948.7
p80p90,2007,90015
p80p90,2008,87196.2
p80p90,2009,81688.8
p80p90,2010,81771.2
p80p90,2011,82154.8
p80p90,2012,84275.8
p80p90,2013,85399
p80p90,2014,86925.7
p90p100,1970,131149
p90p100,1971,128022.2
p90p100,1972,132682.7
p90p100,1973,138894.2
p90p100,1974,130701.9
p90p100,1975,123161.2
p90p100,1976,122428
p90p100,1977,121910.8
p90p100,1978,127781.1
p90p100,1979,134655.2
p90p100,1980,137397
p90p100,1981,132596.3
p90p100,1982,128120.9
p90p100,1983,130868.8
p90p100,1984,138011.5
p90p100,1985,148775
p90p100,1986,168596.1
p90p100,1987,181079.3
p90p100,1988,194343.9
p90p100,1989,225166.7
p90p100,1990,229497.8
p90p100,1991,228046.6
p90p100,1992,239394.6
p90p100,1993,254791.3
p90p100,1994,261486.8
p90p100,1995,272955.7
p90p100,1996,324006.8
p90p100,1997,360278.2
p90p100,1998,395248.8
p90p100,1999,440530.7
p90p100,2000,472996.5
p90p100,2001,459101.3
p90p100,2002,431229.7
p90p100,2003,433712.6
p90p100,2004,452836.1
p90p100,2005,471281
p90p100,2006,513162.7
p90p100,2007,554865.9
p90p100,2008,525125.3
p90p100,2009,531479.9
p90p100,2010,593696.7
p90p100,2011,590328.5
p90p100,2012,583038.4
p90p100,2013,599213.1
p90p100,2014,615103.4
